TIEJAKSO_ID;TIENUMERO;TIEJAKSO;TIEJAKSO_VERSIO;SELITE1;SELITE2;TIE;AOSA;AET;LOSA;LET;PITUUS
00014_010_000_0;14;10;0;Vt 14;Rantasalmi - Savonlinna;14;10;0;15;913;24334
00014_015_000_0;14;15;0;Vt 14;Savonlinna - Punkaharju;14;15;913;22;6480;32425
00014_022_000_0;14;22;0;Vt 14;Punkaharju - Parikkala;14;22;6480;26;7454;20448
00015_001_000_0;15;1;0;Vt 15;Kotka - Kyminlinna;15;1;0;1;6041;6510
00015_002_000_0;15;2;0;Vt 15;Kotka - Kouvola;15;2;0;7;7541;39997
00015_007_000_0;15;7;0;Vt 15;Kouvola - Tuohikotti;15;7;7541;15;2434;31288
00015_016_000_0;15;16;0;Vt 15;Tuohikotti - Pellosniemi;15;16;0;25;6763;44858
00016_007_000_0;16;7;0;Vt 16;Ylistaro - Lapua;16;7;0;13;1630;30489
00016_014_000_0;16;14;0;Vt 16;Lapua- Alajärvi;16;14;0;22;3897;43683
00016_023_000_0;16;23;0;Vt 16;Alajärvi - Kyyjärvi;16;23;0;29;4815;35605
00018_001_000_0;18;1;0;Vt 18;Laihia - Ylistaro;18;1;0;6;7383;29009
00018_045_000_0;18;45;0;Vt 23;Petäjävesi - Jyväskylä;18;45;0;50;8551;30446
00019_001_000_0;19;1;0;Vt 19;Jalasjärvi - Seinäjoki;19;1;0;5;3276;33394
00019_006_000_0;19;6;0;Vt 19;Seinäjoki - Lapua;19;6;0;13;1720;25616
00019_014_000_0;19;14;0;Vt 19;Lapua - Jepua;19;14;0;23;6184;62073
00020_001_000_0;20;1;0;Vt 20;Oulu - Kiiminki;20;1;0;6;1122;18516
00020_006_000_0;20;6;0;Vt 20;Kiiminki - Löytökylä;20;6;1122;10;3300;21605
00020_010_000_0;20;10;0;Vt 20;Löytökylä - Pudasjärvi;20;10;3300;17;5406;45663
00020_018_000_0;20;18;0;Vt 20;Pudasjärvi - Taivalkoski;20;18;0;30;1285;64918
00020_031_000_0;20;31;0;Vt 20;Taivalkoski - Kuolio;20;31;0;38;6653;41267
00020_039_000_0;20;39;0;Vt 20;Kuolio - Kuusamo;20;39;0;41;5070;20067
00021_105_000_0;21;105;0;Vt 21;Tornio - Korpikylä;21;105;0;111;7930;34937
00021_112_000_0;21;112;0;Vt 21;Korpikylä - Ylitornio;21;112;0;118;2783;34572
00021_119_000_0;21;119;0;Vt 21;Ylitornio - Pello;21;119;0;129;3449;52079
00021_130_000_0;21;130;0;Vt 21;Pello - Kolari;21;130;0;142;4329;65934
00021_143_000_0;21;143;0;Vt 21;Kolari - Muonio;21;143;0;157;1571;75304
00021_201_000_0;21;201;0;Vt 21;Muonio - Kaaresuvanto;21;201;0;215;7050;87091
00021_216_000_0;21;216;0;Vt 21;Kaaresuvanto - Kilpisjärvi;21;216;0;238;4860;117048
00022_001_000_0;22;1;0;Vt 22;Oulu - Muhos;22;1;0;9;3831;33270
00022_009_000_0;22;9;0;Vt 22;Muhos - Vaala;22;9;3831;19;5279;56389
00022_020_000_0;22;20;0;Vt 22;Vaala - Kontiomäki;22;20;0;32;6642;69601
00023_101_000_0;23;101;0;Vt 23;Noormarkku - Kankaanpää;23;101;0;109;2093;50149
00023_109_000_0;23;109;0;Vt 23;Kankaanpää - Parkano;23;109;2093;115;4463;31634
00023_201_000_0;23;201;0;Vt 23;Parkano - Virrat;23;201;0;208;4210;49942
00023_209_000_0;23;209;0;Vt 23;Virrat - Keuruu;23;209;0;219;2026;53969
00023_220_000_0;23;220;0;Vt 23;Keuruu - Petäjävesi;23;220;0;225;1888;26991
00023_301_000_0;23;301;0;Vt 23;Hankasalmi - Pieksämäki;23;301;0;309;937;35913
00023_310_000_0;23;310;0;Vt 23;Pieksämäki - Varkaus;23;310;0;317;2631;38241
00023_401_000_0;23;401;0;Vt 23;Varkaus - Heinävesi;23;401;0;406;4936;30766
00023_406_000_0;23;406;0;Vt 23;Heinävesi - Viinijärvi;23;406;4936;417;5420;64150
00024_001_000_0;24;1;0;Vt 24;Lahti - Vääksy;24;1;0;4;9264;24852
00024_005_000_0;24;5;0;Vt 24;Vääksy - Kuhmoinen;24;5;0;15;4588;55212
00024_016_000_0;24;16;0;Vt 24;Kuhmoinen - Jämsä;24;16;0;21;5420;36311
00025_001_000_0;25;1;0;Vt 25;Hanko - Karjaa;25;1;0;14;1991;53326
00025_015_000_0;25;15;0;Vt 25;Karjaa - Lohja;25;15;0;21;940;33609
00025_022_000_0;25;22;0;Vt 25;Lohja - Hyvinkää;25;22;0;31;3948;45601
00025_032_000_0;25;32;0;Vt 25;Hyvinkää - Mäntsälä;25;32;0;36;4130;29600
00026_001_000_0;26;1;0;Vt 26;Hamina - Luumäki;26;1;0;11;4331;50658
00027_001_000_0;27;1;0;Vt 27;Kalajoki - Ylivieska;27;1;0;5;2221;37826
00027_006_000_0;27;6;0;Vt 27;Ylivieska - Nivala;27;6;0;8;9323;27233
00027_009_000_0;27;9;0;Vt 27;Nivala - Pyhäjärvi;27;9;0;16;8021;60038
00028_001_000_0;28;1;0;Vt 28;Kokkola - Kannus;28;1;0;6;3365;29005
00028_007_000_0;28;7;0;Vt 28;Kannus - Sievi;28;7;0;13;4193;30199
00028_014_000_0;28;14;0;Vt 28;Sievi - Nivala;28;14;0;19;3538;25658
00028_020_000_0;28;20;0;Vt 28;Nivala - Kärsämäki;28;20;0;29;5909;41745
00028_030_000_0;28;30;0;Vt 28;Kärsämäki - Pyhäntä;28;30;0;37;2237;33035
00028_038_000_0;28;38;0;Vt 28;Pyhäntä - Vuolijoki;28;38;0;42;8893;31334
00028_043_000_0;28;43;0;Vt 28;Vuolijoki - Mainua;28;43;0;46;5275;24989
00029_001_000_0;29;1;0;Vt 29;Kemi - Tornio;29;1;0;3;2612;16605
00040_001_000_0;40;1;0;Kt 40;Naantali - Piikkiö;40;1;0;6;5530;32784
00041_007_000_0;41;7;0;Kt 41;Aura - Alastaro;41;7;0;13;4875;36527
00041_014_000_0;41;14;0;Kt 41;Alastaro - Huittinen;41;14;0;18;1687;24633
00045_001_000_0;45;1;0;Kt 45;Helsinki - Kehä I;45;1;0;2;1687;7162
00045_002_000_0;45;2;0;Kt 45;Kehä I - Tuusula;45;2;1687;5;172;17925
00045_005_000_0;45;5;0;Kt 45;Tuusula - Hyvinkää;45;5;172;10;4641;21440
00050_001_000_0;50;1;0;Kt 50;Länsiväylä - Turunväylä;50;1;0;2;5364;12069
00050_003_000_0;50;3;0;Kt 50;Turunväylä - Hämeenlinnanväylä;50;3;0;5;3734;15156
00050_006_000_0;50;6;0;Kt 50;Hämeenlinnanväylä - Porvoonväylä;50;6;0;8;3101;16497
00051_001_000_0;51;1;0;Kt 51;Helsinki - Kehä III;51;1;0;7;4853;24028
00051_008_000_0;51;8;0;Kt 51;Kehä III - Siuntio;51;8;0;10;6829;17087
00051_011_000_0;51;11;0;Kt 51;Siuntio - Karjaa;51;11;0;16;5895;31489
00055_001_000_0;55;1;0;Kt 55;Porvoo - Mäntsälä;55;1;0;6;929;33865
00058_008_000_0;58;8;0;Kt 58;Orivesi - Juupajoki;58;8;0;10;5049;15692
00058_011_000_0;58;11;0;Kt 58;Juupajoki - Mänttä;58;11;0;17;3500;29500
00058_017_000_0;58;17;0;Kt 58;Mänttä - Keuruu;58;17;3500;22;5933;28661
