EA_TUNNUS;LAHIN_TSA;NIMI_FI;EANIMI_FI;TIE;TIEOSA;ETAISYYS;X;Y;MUNICIPALITY
C1456800;14031;Tie 4 Rovaniemi, Santa Claus;Sodankylään;4;502;2744;7380418;446024;Rovaniemi
C1456801;14031;Tie 4 Rovaniemi, Santa Claus;Sodankylään;4;502;2744;7380418;446024;Rovaniemi
C1456803;14031;Tie 4 Rovaniemi, Santa Claus;Sodankylään;4;502;2744;7380418;446024;Rovaniemi
C1456901;14006;Tie 5 Kemijärvi, Suomu;Tienpinta;5;375;528;7381913;549108;Kemijärvi
C1456902;14006;Tie 5 Kemijärvi, Suomu;Kemiin;5;375;528;7381913;549108;Kemijärvi
C1456903;14006;Tie 5 Kemijärvi, Suomu;Tie;5;375;528;7381913;549108;Kemijärvi
C1457001;14044;Tie 4, Simo;Kemiin;4;420;5990;7284589;404880;Simo
C1457002;14044;Tie 4, Simo;Tie;4;420;5990;7284589;404880;Simo
C1457003;14044;Tie 4, Simo;TieHighRes;4;420;5990;7284589;404880;Simo
C1457101;14046;Tie78_Ranua;Rovaniemi;78;216;5683;7332157;469339;Ranua
C1457105;14046;Tie78_Ranua;Rovaniemi;78;216;5683;7332157;469339;Ranua
C1457201;14028;;Tulppioon;9671;3;4412;7484825;558287;Savukoski
C1457202;14028;;Savukoskelle;9671;3;4412;7484825;558287;Savukoski
C1457209;14028;;tienpinta;9671;3;4412;7484825;558287;Savukoski
C1457301;14016;;Kaamaseen;971;9;115;7686405;540959;Inari
C1457302;14016;;Sevettijärvelle;971;9;115;7686405;540959;Inari
C1457309;14016;;tienpinta;971;9;115;7686405;540959;Inari
C1650101;16001;Tie 1 Muurla;Muurla;1;21;7280;6699318;297183;Salo
C1650200;16001;Tie 1 Hepomäki;Hepomäki;1;21;5105;6698506;299361;Salo
C1650300;16004;Tie 1 Salo, Kruusila;Kruusila;1;20;7760;6699222;304404;Salo
C1650400;16006;Tie 1 Suomusjärvi;Suomusjärvi;1;20;0;6699664;311815;Salo
C1650500;16007;Tie 1 Lahnajärvi;Lahnajärvi;1;18;0;6697275;318478;Salo
C1650600;16008;Tie 1 Sammatti;Sammatti;1;16;0;6697871;323884;Lohja
C1650700;16010;Tie 1 Nummi;Nummi;1;15;0;6693566;329562;Lohja
C1650800;16009;Tie 1 Tervakorpi;Tervakorpi;1;14;2810;6691776;331006;Lohja
C1650900;16012;Tie 1 Orosmäki;Orosmäki;1;13;4250;6690004;334396;Lohja
C1651000;16011;Tie 1 Karnainen;Karnainen;1;13;0;6687711;337838;Lohja
C1651100;16011;Tie 1 Lempola;Lempola;1;11;6150;6686365;340575;Lohja
C1750101;12008;Tie 950 Kuusamo, Käylä;Sallaan;950;4;6;7355657;596214;Kuusamo
C1750102;12008;Tie 950 Kuusamo, Käylä;Kuusamoon;950;4;6;7355657;596214;Kuusamo
C1750109;12008;Tie 950 Kuusamo, Käylä;Tienpinta;950;4;6;7355657;596214;Kuusamo
C1850101;4020;Tampere, Pirkankatu;Pispalaan;99999;1;1;6822686;326234;Tampere
C1850201;4017;Tie 3495 Tampere, Viinikka;Viinikan liikenneympyrä;3495;1;2940;6821424;328524;Tampere
C1850202;4017;Tie 3495 Tampere, Viinikka;Helsinkiin;3495;1;2940;6821424;328524;Tampere
C1850301;4017;Tampere, Hervannan valtavä;Hervantaan;43524;1;16;6821884;330857;Tampere
C1850302;4017;Tampere, Hervannan valtavä;Keskustaan / Kalevaan;43524;1;16;6821884;330857;Tampere
C1850303;4017;Tampere, Hervannan valtavä;Sammonvaltatie itään;43524;1;16;6821884;330857;Tampere
C1850304;4017;Tampere, Hervannan valtavä;Sammonvaltatie keskustaan;43524;1;16;6821884;330857;Tampere
C1850401;4017;Tampere, Hatanpäänvaltatie;Hatanpäänvaltatie pohjoiseen;43511;7;48;6821797;328139;Tampere
