EA_TUNNUS;LAHIN_TSA;NIMI_FI;EANIMI_FI;TIE;TIEOSA;ETAISYYS;X;Y;MUNICIPALITY
C0162900;1006;Tie 7 Rita;Kotkaan;7;10;1820;6698721;428700;Porvoo
C0163000;1022;Tie 7 Vanhakylä;Kotkaan;7;13;4511;6706076;439137;Loviisa
C0163100;1006;Tie 7 Koskenkylä;Kotkaan;7;15;8;6706583;442801;Loviisa
C0163201;1022;Tie 7 Loviisa_Itä;Kotkaan;7;19;4212;6704525;459483;Loviisa
C0163202;1022;Tie 7 Loviisa_Itä;Helsinkiin;7;19;4212;6704525;459483;Loviisa
C0163209;1022;Tie 7 Loviisa_Itä;Tienpinta;7;19;4212;6704525;459483;Loviisa
C0164801;1108;Tie 7 Markkinamäki_Itä;Kotkaan;7;24;417;6705615;472412;Kotka
C0164802;1108;Tie 7 Markkinamäki_Itä;Helsinkiin;7;24;417;6705615;472412;Kotka
C0165100;1011;Tie 7 Sipoonlahti;;7;4;2106;6683921;407381;Sipoo
C0165200;1116;Tie 7 Kilpilahti;;7;6;2484;6688073;413386;Sipoo
C0165300;1116;tie 7 Porvoo Kulloo;;7;7;2;6689241;416143;Porvoo
C0165400;1019;Tie 7 Porvoo Skarpens;;7;10;33;6698538;426898;Porvoo
C0165500;1041;Tie 3 Vantaa, Keimola;Tie 3;3;103;4785;6690317;379707;Vantaa
C0165600;1041;Tie 3 Vantaa, Kivistö pohjoinen;Tie;3;103;2655;6688428;380686;Vantaa
C0165700;1041;Tie 3 Vantaa, Kivistö eteläinen;Tie 3;3;103;1890;6687704;380924;Vantaa
C0166300;1055;Tie 102 Hiidenkallion tunneli;puuttuu;102;3;1834;6677320;375220;Espoo
C0167000;1045;Tue 51 Matinkylä;Puuttuu;51;4;3238;6672026;375281;Espoo
C0167100;1045;Tie 51 Finnoo;puuttuu;51;5;2768;6671515;372627;Espoo
C0167200;1045;Tie 51 Kivenlahti;puuttuu;51;6;2389;6670765;370361;Espoo
C0167301;1070;Tie 6 Kimonkylä;Kouvolaan;6;123;4397;;;Lapinjärvi
C0167302;1070;Tie 6 Kimonkylä;Helsinkiin;6;123;4397;;;Lapinjärvi
C0167309;1070;Tie 6 Kimonkylä;Tienpinta;6;123;4397;;;Lapinjärvi
C0250201;2065;Tie 110 Salo, Kruusila;Turkuun;110;22;5515;6698106;304036;Kiikala
C0250302;2015;Tie 185 Nesteentie;Naantaliin;185;2;1550;6713098;231080;Raisio
C0250402;2013;Tie 11 Tervahauta;Tampereelle;11;13;6694;6823871;264398;Sastamala
C0250509;2014;Tie 23 Pomarkku;Tienpinta;23;104;1498;6851045;236473;Pomarkku
C0250601;4003;Tie 2 Leppijärvi;Poriin;2;30;4646;6769353;289900;Loimaa
C0250701;2008;Tie 8 Laitila, Nästi;Raumalle;8;110;1648;6751287;220289;Laitila
C0250801;1007;Tie 52 Somero;Someroon;52;17;4344;6724821;309984;Somero
C0250802;1007;Tie 52 Somero;Saloon;52;17;4344;6724821;309984;Somero
C0250809;1007;Tie 52 Somero;tienpinta;52;17;4344;6724821;309984;Somero
C0250901;2027;Tie 9 Aura;Loimaalle;9;107;271;6731147;256869;Aura
C0251101;2063;Tie 110 Kitula;Turkuun;110;21;2808;6698354;312274;Suomusjärvi
C0251202;2062;Tie 110 Kolmperä;Helsinkiin;110;20;1247;6697506;316050;Suomusjärvi
C0251309;2065;Tie 110 Muurla;Tienpinta;110;23;5249;6698451;297228;Muurla
C0251401;2003;Tie 8 Luvia;Poriin;8;126;1298;6823304;219817;Luvia
C0251501;2028;Tie 10 Marttila;Turkuun;10;6;3800;6724124;272404;Marttila
C0251601;2022;Tie 196 Lokalahti;Taivassaloon;196;8;1447;6741179;198974;Uusikaupunki
C0251602;2022;Tie 196 Lokalahti;Uuteenkaupunkiin;196;8;1447;6741179;198974;Uusikaupunki
C0251604;2022;Tie 196 Lokalahti;Tie 194 Vehmaalle;196;8;1447;6741179;198974;Uusikaupunki
C0251609;2022;Tie 196 Lokalahti;Tienpinta;196;8;1447;6741179;198974;Uusikaupunki
C0251709;2029;Tie 12 Lapinmäki;Tienpinta;12;106;3526;6785349;225898;Lappi
C0251802;2016;Tie 41 Virttaa;Turkuun;41;13;2807;6762840;266133;Alastaro
C0251902;2006;Tie 2 Harjavalta;Huittisiin;2;43;1790;6806549;239345;Harjavalta
C0252001;2030;Tie 40 Kärsämäki;Tie 40 Helsinkiin;40;4;0;6716091;241142;Kärsämäki
C0252002;2030;Tie 40 Kärsämäki;Tie 40 Naantaliin;40;4;0;6716091;241142;Kärsämäki
C0252003;2030;Tie 40 Kärsämäki;Tie 9 Tampereelle;40;4;0;6716091;241142;Kärsämäki
C0252004;2030;Tie 40 Kärsämäki;Tie 9 Turkuun;40;4;0;6716091;241142;Kärsämäki
C0252008;2030;Tie 40 Kärsämäki;Tie 9 Tienpinta;40;4;0;6716091;241142;Kärsämäki
C0252009;2030;Tie 40 Kärsämäki;Tie 40 Tienpinta;40;4;0;6716091;241142;Kärsämäki
C0252101;2030;Tie 40 Raisio;Tie 40 Piikkiöön;40;3;62;6715501;234991;Raisio
C0252102;2030;Tie 40 Raisio;Tie 40 Naantaliin;40;3;62;6715501;234991;Raisio
C0252103;2030;Tie 40 Raisio;Tie 8 Maskuun;40;3;62;6715501;234991;Raisio
C0252104;2030;Tie 40 Raisio;Tie 8 Turkuun;40;3;62;6715501;234991;Raisio
C0252109;2030;Tie 40 Raisio;tie 40 Tienpinta;40;3;62;6715501;234991;Raisio
C0252201;2030;Tie 40 Ravattula;Tie 40 Helsinkiin;40;5;20;6712925;245094;Turku
C0252202;2030;Tie 40 Ravattula;Tie 40 Naantaliin;40;5;20;6712925;245094;Turku
C0252203;2030;Tie 40 Ravattula;Tie 10 Hämeenlinnaan;40;5;20;6712925;245094;Turku
C0252204;2030;Tie 40 Ravattula;Tie 10 Turkuun;40;5;20;6712925;245094;Turku
C0252209;2030;Tie 40 Ravattula;Tienpinta;40;5;20;6712925;245094;Turku
C0252301;2020;Tie 2 Honkaluoto;Tie 2 Poriin;2;46;6136;6823634;224706;Pori
C0252302;2020;Tie 2 Honkaluoto;Tie 2 Helsinkiin;2;46;6136;6823634;224706;Pori
C0252303;2020;Tie 2 Honkaluoto;Tie 11 Poriin;2;46;6136;6823634;224706;Pori
C0252304;2020;Tie 2 Honkaluoto;Tie 11 Tampereelle;2;46;6136;6823634;224706;Pori
C0252309;2020;Tie 2 Honkaluoto;Tienpinta;2;46;6136;6823634;224706;Pori
C0252401;2009;Tie 8 Hyvelä;Vaasaan;8;202;225;6832347;223784;Pori
C0252402;2009;Tie 8 Hyvelä;Poriin;8;202;225;6832347;223784;Pori
C0252409;2009;Tie 8 Hyvelä;Tienpinta;8;202;225;6832347;223784;Pori
C0252501;2002;Tie 8 Rauma;Poriin;8;119;3915;6792221;208633;Rauma
C0252502;2002;Tie 8 Rauma;Raumalle;8;119;3915;6792221;208633;Rauma
C0252509;2002;Tie 8 Rauma;Tienpinta;8;119;3915;6792221;208633;Rauma
C0252601;2019;Tie 180 Prostvik;Korppooseen;180;8;530;6685938;228248;Nauvo
C0252602;2019;Tie 180 Prostvik;Kaarinaan;180;8;530;6685938;228248;Nauvo
C0252609;2019;Tie 180 Prostvik;Tienpinta;180;8;530;6685938;228248;Nauvo
C0252701;2033;Tie 110 Kurjenmäki;Turkuun;110;30;745;6703708;269952;Paimio
C0252702;2033;Tie 110 Kurjenmäki;Saloon;110;30;745;6703708;269952;Paimio
C0252709;2033;Tie 110 Kurjenmäki;Tienpinta;110;30;745;6703708;269952;Paimio
C0252801;2018;Tie 186 Orijärvi;Inkooseen;186;7;512;6682881;310547;Kisko
C0252802;2018;Tie 186 Orijärvi;Saloon;186;7;512;6682881;310547;Kisko
C0252809;2018;Tie 186 Orijärvi;Tienpinta;186;7;512;6682881;310547;Kisko
C0252900;2035;Tie 1 Jaani;;1;36;35;6709299;242490;Turku
C0253000;2035;Tie 1 Huhkola;;1;35;1459;6708330;242865;Turku
C0253100;2037;Tie 1 Kurkela;;1;34;1727;6707477;244023;Kaarina
C0253200;2037;Tie 1 Väntsi;;1;34;13;6707531;245723;Kaarina
C0253300;2037;Tie 1 Raadelma;;1;33;11;6707948;249373;Piikkiö
C0253401;2037;Tie 1 Kirismäki;Turkuun;1;32;24;6709272;251988;Piikkiö
C0253500;2039;Tie 1 Tammisilta;;1;31;438;6708800;257660;Paimio
C0253600;2041;Tie 1 Valkoja;;1;29;2927;6706543;261809;Paimio
C0253700;2041;Tie 1 Vista;;1;29;21;6706706;264653;Paimio
C0253800;2045;Tie 1 Hajala;;1;26;6735;6706523;275911;Halikko
C0253900;2047;Tie 1 Halikko;;1;26;38;6705486;282418;Salo
C0254000;2055;Tie 1 Pappila;;1;24;1701;6704223;287221;Salo
C0254100;2055;Tie 1 Isokylä;;1;25;2;6704196;288442;Salo
C0254400;2023;Tie 183 Strömma_3;Tie 183 Kemiöön;183;4;457;6679498;270972;Kemiö
C0254501;2011;Tie 9 Loimaa;Tampereelle;9;117;610;6759931;294482;Loimaa
C0254502;2011;Tie 9 Loimaa;Turkuun;9;117;610;6759931;294482;Loimaa
C0254509;2011;Tie 9 Loimaa;Tienpinta;9;117;610;6759931;294482;Loimaa
C0254601;2027;Tie 204 Yläne;Euraan;204;6;5831;6757855;250080;Yläne
C0254602;2027;Tie 204 Yläne;Lietoon;204;6;5831;6757855;250080;Yläne
C0254609;2027;Tie 204 Yläne;Tienpinta;204;6;5831;6757855;250080;Yläne
C0254700;2023;Tie 183 Strömma_1;Strömman kanava;183;4;457;6679491;270972;Kemiö
C0254800;2023;Tie 183 Strömma_2;Tie 183 Perniöön;183;4;457;6679496;270980;Kemiö
C0254900;2023;Tie 183 Strömma_4;Strömman kanava;183;4;457;6679500;270977;Kemiö
C0255000;2088;Tie 180 Kirjalansalmi;Silta;180;1;7180;6701316;244129;Kaarina
C0255001;2088;Tie 180 Kirjalansalmi;Kaarinaan;180;1;7180;6701316;244129;Kaarina
C0255002;2088;Tie 180 Kirjalansalmi;Paraisille;180;1;7180;6701316;244129;Kaarina
C0255101;2008;Tie 8 Laitila;Vaasaan;8;112;2670;6762390;210456;Laitila
C0255102;2008;Tie 8 Laitila;Turkuun;8;112;2670;6762390;210456;Laitila
C0255109;2008;Tie 8 Laitila;Tienpinta;8;112;2670;6762390;210456;Laitila
C0255200;2015;Tie 1851 Suikkilantie, Pansiontie;Suikkilantie;1851;1;10;6710895;236160;Turku
C0255202;2015;Tie 1851 Suikkilantie, Pansiontie;Länteen;1851;1;10;6710895;236160;Turku
C0255300;2015;Tie 1851 Suikkilantie, Messukentä;Suikkilantie;1851;1;915;6711709;235824;Turku
C0255400;2015;Tie 1851 Suikkilantie, Naantalint;Suikkilantie;1851;1;1720;6712431;236083;Turku
C0255501;2015;Tie 1851 Suikkilantie, Raumantie;Suikkilantie;1851;1;2225;6712721;236486;Turku
C0350202;5010;Tie 7 Ahvenkoski;Loviisaan;7;23;381;6706344;470033;Pyhtää
C0350401;5019;Tie 6 Utti;Lappeenrantaan;6;202;2920;6750132;490054;Kouvola
C0350402;5019;Tie 6 Utti;Kouvolaan;6;202;2920;6750132;490054;Kouvola
C0350405;5019;Tie 6 Utti;Tie2_Vaisala;6;202;2920;6750132;490054;Kouvola
C0350406;5019;Tie 6 Utti;Tie1_Vaisala;6;202;2920;6750132;490054;Kouvola
C0350407;5019;Tie 6 Utti;Tie1_Boschung;6;202;2920;6750132;490054;Kouvola
C0350408;5019;Tie 6 Utti;Tie2_Boschung;6;202;2920;6750132;490054;Kouvola
C0350409;5019;Tie 6 Utti;Tienpinta;6;202;2920;6750132;490054;Kouvola
C0350501;6007;Tie 13 Ostolahti;Lappeenrantaan;13;225;5492;6813313;514107;Mikkeli
C0350502;6007;Tie 13 Ostolahti;Mikkeliin;13;225;5492;6813313;514107;Mikkeli
C0350504;6007;Tie 13 Ostolahti;Tie 15 Kouvolaan;13;225;5492;6813313;514107;Mikkeli
C0350509;6007;Tie 13 Ostolahti;Tienpinta;13;225;5492;6813313;514107;Mikkeli
C0350601;5019;Tie 6 Kouvola, Keltti;Lappeenrantaan;6;129;5;6748691;478398;Kouvola
C0350602;5019;Tie 6 Kouvola, Keltti;Helsinkiin;6;129;5;6748691;478398;Kouvola
C0350603;5019;Tie 6 Kouvola, Keltti;Tie 365 Kuusankoskelle;6;129;5;6748691;478398;Kouvola
C0350604;5019;Tie 6 Kouvola, Keltti;Tie 12 Lahteen;6;129;5;6748691;478398;Kouvola
C0350609;5019;Tie 6 Kouvola, Keltti;Tie 12 tienpinta;6;129;5;6748691;478398;Kouvola
C0350701;6008;Tie 23 Karvio;Varkauteen;23;411;5285;6932651;584660;Heinävesi
C0350702;6008;Tie 23 Karvio;Joensuuhun;23;411;5285;6932651;584660;Heinävesi
C0350703;6008;Tie 23 Karvio;Tie 85422 Lepikkomäkeen;23;411;5285;6932651;584660;Heinävesi
C0350709;6008;Tie 23 Karvio;Tienpinta;23;411;5285;6932651;584660;Heinävesi
C0350802;5004;Tie 62 Imatra;Lappeenrantaan;62;27;0;6778606;598292;Imatra
C0350901;6003;Tie 5 Kielkallio;Varkauteen;5;134;1451;6853515;532426;Juva
C0351002;3012;Tie 13 Nuijamaa;Lappeenrantaan;13;241;6112;6758986;582041;Lappeenranta
C0351101;5007;Tie 6 Taavetti;Lappeenrantaan;6;210;1413;6755483;535458;Luumäki
C0351102;5007;Tie 6 Taavetti;Kouvolaan;6;210;1413;6755483;535458;Luumäki
C0351109;5007;Tie 6 Taavetti;Tienpinta;6;210;1413;6755483;535458;Luumäki
C0351201;5011;Tie 7 Virolahti, Vaalimaa;Kuva raja-asemalta itään;7;42;1427;6719088;546564;Virolahti
C0351202;5011;Tie 7 Virolahti, Vaalimaa;Kuva raja-asemalta länteen;7;42;1427;6719088;546564;Virolahti
C0351208;5011;Tie 7 Virolahti, Vaalimaa;Rekkaparkki;7;42;1427;6719088;546564;Virolahti
C0351500;3033;Tie 14 Savonlinna, Kyrönsalmi;silta;14;14;4510;6861186;600402;Savonlinna
C0351600;3033;Tie 14 Savonlinna, Kyrönsalmi;;14;14;4370;6861120;600239;Savonlinna
C0351700;3033;Tie 14 Savonlinna, Kyrönsalmi;;14;14;4510;6861165;600378;Savonlinna
C0351800;3033;Tie 14 Savonlinna, Kyrönsalmi;;14;14;4370;6861133;600234;Savonlinna
C0351901;5012;Tie 15 Kouvola, Keltakangas;Kouvolaan;15;5;6226;6734802;491432;Kouvola
C0351902;5012;Tie 15 Kouvola, Keltakangas;Kotkaan;15;5;6226;6734802;491432;Kouvola
C0352201;5005;Tie 6 Särkisalmi;Joensuuhun;6;324;0;6832510;631650;Parikkala
C0352202;5005;Tie 6 Särkisalmi;Imatralle;6;324;0;6832510;631650;Parikkala
C0352204;5005;Tie 6 Särkisalmi;Tie 14 Savonlinnaan;6;324;0;6832510;631650;Parikkala
C0352209;5005;Tie 6 Särkisalmi;Tienpinta;6;324;0;6832510;631650;Parikkala
C0352301;6002;Tie 5 Mäntyharju, Vihantasalmi;Mikkeliin;5;118;6380;6811998;482856;Mäntyharju
C0352302;6002;Tie 5 Mäntyharju, Vihantasalmi;Lahteen;5;118;6380;6811998;482856;Mäntyharju
C0352309;6002;Tie 5 Mäntyharju, Vihantasalmi;Tienpinta;5;118;6380;6811998;482856;Mäntyharju
C0352401;3014;Tie 15 Kotka, Kotkansaari;Kouvolaan;15;1;1850;6703081;495669;Kotka
C0352402;3014;Tie 15 Kotka, Kotkansaari;Kotkaan;15;1;1850;6703081;495669;Kotka
C0352408;3014;Tie 15 Kotka, Kotkansaari;Merimaisema;15;1;1850;6703081;495669;Kotka
C0352409;3014;Tie 15 Kotka, Kotkansaari;Tienpinta;15;1;1850;6703081;495669;Kotka
C0352502;5004;Tie 6 Imatra;Lappeenrantaan;6;311;2244;6790832;600224;Imatra
C0352509;5004;Tie 6 Imatra;Tienpinta;6;311;2244;6790832;600224;Imatra
C0352701;6010;Tie 72 Haukivuori;Pieksämäelle;72;9;1878;6875504;510346;Mikkeli
C0352702;6010;Tie 72 Haukivuori;Mikkeliin;72;9;1878;6875504;510346;Mikkeli
C0352709;6010;Tie 72 Haukivuori;Tienpinta;72;9;1878;6875504;510346;Mikkeli
C0352801;5019;Tie 46 Jaala;Heinolaan;46;5;448;6764639;477656;Kouvola
C0352901;5008;Tie 6 Lappeenranta, Muukko;Imatralle;6;304;2732;6774312;574281;Lappeenranta
C0352902;5008;Tie 6 Lappeenranta, Muukko;Lappeenrantaan;6;304;2732;6774312;574281;Lappeenranta
C0352909;5008;Tie 6 Lappeenranta, Muukko;Tienpinta;6;304;2732;6774312;574281;Lappeenranta
C0353000;3013;Tie 7 Hamina, Lelu;Haminaan;7;35;7150;6714962;516720;Virolahti
C0353101;5019;Tie 15 Kouvola, Käyrälampi;Heinolaan;15;7;7631;6750007;487297;Kouvola
C0353102;5019;Tie 15 Kouvola, Käyrälampi;Kotkaan;15;7;7631;6750007;487297;Kouvola
C0353103;5019;Tie 15 Kouvola, Käyrälampi;Tie 6 Lappeenrantaan;15;7;7631;6750007;487297;Kouvola
C0353104;5019;Tie 15 Kouvola, Käyrälampi;Tie 6 Helsinkiin;15;7;7631;6750007;487297;Kouvola
C0353109;5019;Tie 15 Kouvola, Käyrälampi;Tienpinta;15;7;7631;6750007;487297;Kouvola
C0353201;3022;Tie 5 Pertunmaa, Kuortti;Mikkeliin;5;116;9433;6809299;469198;Pertunmaa
C0353202;3022;Tie 5 Pertunmaa, Kuortti;Lahteen;5;116;9433;6809299;469198;Pertunmaa
C0353209;3022;Tie 5 Pertunmaa, Kuortti;Tienpinta;5;116;9433;6809299;469198;Pertunmaa
C0353301;5009;Tie 46 Uimila;Heinolaan;46;10;5870;6780744;462650;Kouvola
C0353302;5009;Tie 46 Uimila;Kouvolaan;46;10;5870;6780744;462650;Kouvola
C0353402;3004;Tie 62 Anttola;Mikkeliin;62;4;6150;6828458;533044;Mikkeli
C0353601;3012;Tie 13 Rajalle 5km;Nuijamaalle;13;241;1500;6762756;578867;Lappeenranta
C0353602;3012;Tie 13 Rajalle 5km;Lappeenrantaan;13;241;1500;6762756;578867;Lappeenranta
C0353701;3013;Tie 7 Virolahti, Uski;Itään;7;37;3452;6714663;524957;Virolahti
C0353702;3013;Tie 7 Virolahti, Uski;Länteen;7;37;3452;6714663;524957;Virolahti
C0353801;5011;Tie 7 Hämeenkylän risteys;Itään;7;41;3223;6717752;541906;Virolahti
C0353802;5011;Tie 7 Hämeenkylän risteys;Länteen;7;41;3223;6717752;541906;Virolahti
C0353901;5011;Tie 7 Kurkelantien risteys;Venäjälle;7;41;5675;6718500;544213;Virolahti
C0353902;5011;Tie 7 Kurkelantien risteys;Haminaan;7;41;5675;6718500;544213;Virolahti
C0353909;5011;Tie 7 Kurkelantien risteys;Tienpinta;7;41;5675;6718500;544213;Virolahti
C0354001;5011;Tie 7 Lappeenrannantien risteys;Venäjälle;7;42;193;6718590;545503;Virolahti
C0354002;5011;Tie 7 Lappeenrannantien risteys;Haminaan;7;42;193;6718590;545503;Virolahti
C0354009;5011;Tie 7 Lappeenrannantien risteys;Tienpinta;7;42;193;6718590;545503;Virolahti
C0354100;5011;Tie 7 Rajaparkki;Parkkialue;7;42;814;6718830;546101;Virolahti
C0354202;3012;Tie 13 Rajalle 4.5km;Länteen;13;241;1000;6762374;579431;Lappeenranta
C0354301;3012;Tie 13 Rajalle 4.0km;Rajalle;13;241;1550;6761911;579969;Lappeenranta
C0354302;3012;Tie 13 Rajalle 4.0km;Lappeenrantaan;13;241;1550;6761911;579969;Lappeenranta
C0354309;3012;Tie 13 Rajalle 4.0km;Tienpinta;13;241;1550;6761911;579969;Lappeenranta
C0354401;3012;Tie 13 Rajalle 2.5km;Itään;13;241;3800;6760907;580989;Lappeenranta
C0354500;3012;Tie 13 Raja, puomi;Rajapuomi;13;241;4950;6759904;581401;Lappeenranta
C0354600;3012;Tie 13 Raja, parkki 1;Parkkialue;13;241;5500;6759468;581611;Lappeenranta
C0354700;3012;Tie 13 Raja, parkki 2;Parkkialue;13;241;5600;6759378;581692;Lappeenranta
C0354801;5001;Tie 6 Elimäki;Kouvolaan;6;126;679;6733516;469454;Kouvola
C0354802;5001;Tie 6 Elimäki;Helsinkiin;6;126;679;6733516;469454;Kouvola
C0354809;5001;Tie 6 Elimäki;Tienpinta;6;126;679;6733516;469454;Kouvola
C0354902;15101;Tie 7 raja asema 2;;7;42;1427;6719178;546644;Virolahti
C0355003;15101;Tie 7 Rajaparkki;;7;42;1427;6719173;546764;Virolahti
C0355104;15101;Tie 7 raja asema 4;itään;7;42;1427;6719092;546615;Virolahti
C0355201;5013;Tie 7 Hamina, Tallinmäki;Vaalimaalle;170;35;3605;6713388;513471;Virolahti
C0355202;5013;Tie 7 Hamina, Tallinmäki;Haminaan;170;35;3605;6713388;513471;Virolahti
C0355209;5013;Tie 7 Hamina, Tallinmäki;Tienpinta;170;35;3605;6713388;513471;Virolahti
C0355301;5013;Tie 7 Virolahti, Kattilainen;Venäjälle;7;36;4629;6714267;521592;Virolahti
C0355302;5013;Tie 7 Virolahti, Kattilainen;Haminaan;7;36;4629;6714267;521592;Virolahti
C0355309;5013;Tie 7 Virolahti, Kattilainen;Tienpinta;7;36;4629;6714267;521592;Virolahti
C0355401;5013;Tie 7 Haavisto;Itään;7;38;4259;6714880;530092;Virolahti
C0355402;5013;Tie 7 Haavisto;Länteen;7;38;4259;6714880;530092;Virolahti
C0355501;5011;Tie 7 Vaahterikonkangas;Itään;7;39;4916;6715285;534994;Virolahti
C0355502;5011;Tie 7 Vaahterikonkangas;Länteen;7;39;4916;6715285;534994;Virolahti
C0355601;5011;Tie 7 Virolahti, Virojoki;Itään;7;40;1404;6717057;538638;Virolahti
C0355602;5011;Tie 7 Virolahti, Virojoki;Länteen;7;40;1404;6717057;538638;Virolahti
C0355701;5011;Tie 7 Urheilukentän risteys;Vaalimaalle;7;41;969;6717004;539812;Virolahti
C0355702;5011;Tie 7 Urheilukentän risteys;Haminaan;7;41;969;6717004;539812;Virolahti
C0355709;5011;Tie 7 Urheilukentän risteys;Tienpinta;7;41;969;6717004;539812;Virolahti
C0355801;5008;Tie 6 Saimaan kanava;Imatralle;6;303;1045;6771405;570560;Lappeenranta
C0355802;5008;Tie 6 Saimaan kanava;Lappeenrantaan;6;303;1045;6771405;570560;Lappeenranta
C0355809;5008;Tie 6 Saimaan kanava;Tienpinta;6;303;1045;6771405;570560;Lappeenranta
C0355901;5019;Tie 6 Kouvola;Lappeenrantaan;6;201;0;6749489;483854;Kouvola
C0355902;5019;Tie 6 Kouvola;Helsinkiin;6;201;0;6749489;483854;Kouvola
C0355909;5019;Tie 6 Kouvola;Tienpinta;6;201;0;6749489;483854;Kouvola
C0356001;5004;Tie 62 Virmutjoki;Ruokolahdelle;62;22;250;6802435;594736;Ruokolahti
C0356002;5004;Tie 62 Virmutjoki;Puumalaan;62;22;250;6802435;594736;Ruokolahti
C0356101;3005;Tie 14 Punkaharju;Parikkalaan;14;22;6081;6850397;625087;Savonlinna
C0356102;3005;Tie 14 Punkaharju;Savonlinnaan;14;22;6081;6850397;625087;Savonlinna
C0356105;3005;Tie 14 Punkaharju;Järvimaisema;14;22;6081;6850397;625087;Savonlinna
C0356109;3005;Tie 14 Punkaharju;Tienpinta;14;22;6081;6850397;625087;Savonlinna
C0356201;6005;Tie 5 Joroinen, Tahkoranta;Varkauteen;5;144;0;6899532;546159;Joroinen
C0356202;6005;Tie 5 Joroinen, Tahkoranta;Mikkeliin;5;144;0;6899532;546159;Joroinen
C0356203;6005;Tie 5 Joroinen, Tahkoranta;Tie 464 Rantasalmelle;5;144;0;6899532;546159;Joroinen
C0356204;6005;Tie 5 Joroinen, Tahkoranta;Tie 4558 länteen;5;144;0;6899532;546159;Joroinen
C0356209;6005;Tie 5 Joroinen, Tahkoranta;Tienpinta;5;144;0;6899532;546159;Joroinen
C0356301;6009;Tie 23 Pieksämäki, Siikamäki;Varkauteen;23;314;2636;6906603;521060;Pieksämäki
C0356302;6009;Tie 23 Pieksämäki, Siikamäki;Pieksämäelle;23;314;2636;6906603;521060;Pieksämäki
C0356401;6007;Tie 15 Laivolahti;Mikkeliin;15;19;1332;6783848;508734;Mäntyharju
C0356402;6007;Tie 15 Laivolahti;Kouvolaan;15;19;1332;6783848;508734;Mäntyharju
C0356409;6007;Tie 15 Laivolahti;Tienpinta;15;19;1332;6783848;508734;Mäntyharju
C0356501;3012;Tie 13 Lokkaan suora;Rajalle;13;240;2729;6766076;575441;Lappeenranta
C0356502;3012;Tie 13 Lokkaan suora;Lappeenrantaan;13;240;2729;6766076;575441;Lappeenranta
C0356509;3012;Tie 13 Lokkaan suora;Tienpinta;13;240;2729;6766076;575441;Lappeenranta
C0356601;3036;Tie 6 Lappeenranta;Imatralle;6;301;676;6767996;564201;Lappeenranta
C0356602;3036;Tie 6 Lappeenranta;Kouvolaan;6;301;676;6767996;564201;Lappeenranta
C0356701;5004;Tie 62 Karhunsuo;Rajalle;62;25;2018;6780982;597339;Imatra
C0356702;5004;Tie 62 Karhunsuo;Imatralle;62;25;2018;6780982;597339;Imatra
C0356709;5004;Tie 62 Karhunsuo;Tienpinta;62;25;2018;6780982;597339;Imatra
C0356801;5008;Tie 6 Muukon suora;Imatralle;6;304;4515;6774897;575727;Lappeenranta
C0356802;5008;Tie 6 Muukon suora;Lappeenrantaan;6;304;4515;6774897;575727;Lappeenranta
C0356809;5008;Tie 6 Muukon suora;Tienpinta;6;304;4515;6774897;575727;Lappeenranta
C0357001;3012;Tie 13 Karhusjärvi;Nuijamaalle;13;239;4759;6768102;573435;Lappeenranta
C0357002;3012;Tie 13 Karhusjärvi;Lappeenrantaan;13;239;4759;6768102;573435;Lappeenranta
C0357101;3036;Tie 6 Lappeenranta, Selkäharju;Lappeenrantaan;6;215;100;6766164;556253;Lappeenranta
C0357102;3036;Tie 6 Lappeenranta, Selkäharju;Kouvolaan;6;215;100;6766164;556253;Lappeenranta
C0357109;3036;Tie 6 Lappeenranta, Selkäharju;Tienpinta;6;215;100;6766164;556253;Lappeenranta
C0357201;3036;Tie 6 Lappeenranta, Lavola;Lappeenrantaan;6;216;0;6767195;560249;Lappeenranta
C0357202;3036;Tie 6 Lappeenranta, Lavola;Kouvolaan;6;216;0;6767195;560249;Lappeenranta
C0357301;5008;Tie 6 Lappeenranta, Viipurintie;Imatralle;6;301;1974;6768374;565436;Lappeenranta
C0357302;5008;Tie 6 Lappeenranta, Viipurintie;Kouvolaan;6;301;1974;6768374;565436;Lappeenranta
C0357309;5008;Tie 6 Lappeenranta, Viipurintie;Tienpinta;6;301;1974;6768374;565436;Lappeenranta
C0357401;5008;Tie 6 Lappeenranta, Nuijamaantie;Imatralle;6;302;5000;6770864;569788;Lappeenranta
C0357402;5008;Tie 6 Lappeenranta, Nuijamaantie;Lappeenrantaan;6;302;5000;6770864;569788;Lappeenranta
C0357501;5008;Tie 13 Savitaipale;Lappeenrantaan;13;234;27;6784311;535864;Savitaipale
C0357502;5008;Tie 13 Savitaipale;Mikkeliin;13;234;27;6784311;535864;Savitaipale
C0357601;5008;Tie 26 Hamina, Pyhältö;Luumäelle;26;7;1507;6735942;518961;Hamina
C0357602;5008;Tie 26 Hamina, Pyhältö;Haminaan;26;7;1507;6735942;518961;Hamina
C0357609;5008;Tie 26 Hamina, Pyhältö;Tienpinta;26;7;1507;6735942;518961;Hamina
C0357701;5008;Tie 6 Lappeenranta, Joutseno;Imatralle;6;305;1733;6776703;579908;Joutseno
C0357702;5008;Tie 6 Lappeenranta, Joutseno;Lappeenrantaan;6;305;1733;6776703;579908;Joutseno
