NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;NIMI_SE;NIMI_EN;TIE;TIEOSA;ETAISYYS;X;Y;KORKEUS;MAAKUNNAN_NIMI
23583;583;L_vt7_Petäjäsuo;Tie 7 Petäjäsuo;Väg 7 Petäjäsuo;Road 7 Petäjäsuo;7;27;1757;6706814;492051;0;Kymenlaakso
23599;599;L_vt7_Leppäsaari;Tie 7 Leppäsaari;Väg 7 Leppäsaari;Road 7 Leppäsaari;7;28;701;6707199;493558;7;Kymenlaakso
23574;574;L_vt7_Kyminlinna;Tie 7 Kyminlinna;Väg 7 Kyminlinna;Road 7 Kyminlinna;7;29;230;6707665;494647;0;Kymenlaakso
23576;576;L_vt7_Karhula_Länsi;Tie 7 Kotka, Karhula-Länsi;Väg 7 Kotka, Karhula-Länsi;Road 7 Kotka, Karhula-Länsi;7;29;1958;6708690;495998;0;Kymenlaakso
23577;577;L_vt7_Otsola_Länsi;Tie 7 Kotka, Otsola-Länsi;Väg 7 Kotka, Otsola-Länsi;Road 7 Kotka, Otsola-Länsi;7;30;605;6710042;497504;0;Kymenlaakso
23572;572;L_vt7_Salminlahti;Tie 7 Salminlahti;Väg 7 Salminlahti;Road 7 Salminlahti;7;31;1616;6712719;499785;0;Kymenlaakso
23573;573;L_vt7_Hamina_Summa;Tie 7 Hamina, Summa;Väg 7 Fredrikshamn, Summa;Road 7 Hamina, Summa;7;32;4545;6714808;504821;0;Kymenlaakso
23302;302;L_vt7_Hamina_Lankamalmi;Tie 7 Hamina_Lnkamalmi;Väg 7 Fredrikshamn_Lnkamalmi;Road 7 Hamina_Lnkamalmi;7;32;6853;6715121;507075;0;Kymenlaakso
23303;303;L_vt7_Hamina_Ruissalo;Tie 7 Hamina_Ruissalo;Väg 7 Fredrikshamn_Ruissalo;Road 7 Hamina_Ruissalo;7;33;764;6715955;507827;0;Kymenlaakso
23304;304;L_vt7_Hamina_Husula;Tie 7 Hamina_Hususla;Väg 7 Fredrikshamn_Hususla;Road 7 Hamina_Hususla;7;34;942;6717383;509114;0;Kymenlaakso
23555;555;L_vt7_Tallinmäki;Tie 7 Hamina, Tallinmäki;Väg 7 Fredrikshamn, Tallinmäki;Road 7 Hamina, Tallinmäki;7;35;3670;6716966;539365;0;Kymenlaakso
23305;305;L_vt7_Hamina_Kolsila_itä;Tie 7 Hamina_Kolsila_itä;Väg 7 FredrikshamnKolsila_itä;Road 7 HaminaKolsila_itä;7;35;3691;6717722;514030;0;Kymenlaakso
23525;525;L_vt7_Lelu;Tie 7 Hamina, Lelu;Väg 7 Fredrikshamn, Lelu;Road 7 Hamina, Lelu;7;36;6551;6714563;520986;0;Kymenlaakso
23551;551;L_vt7_LAM030706;Tie 7 Virolahti, Harjula;Väg 7 Vederlax, Harjula;Road 7 Virolahti, Harjula;7;38;3860;6716966;539365;0;Kymenlaakso
