TSA_NUMBER;LAM_STATION_ID;TSA_NAME;NAME_FI;NAME_SE;NAME_EN;ROAD;ROAD_PART;ROAD_DISTANCE;TSA_LOC_KKJ_Y,TSA_LOC_KKJ_X,TSA_ALTITUDE,REGION_NAME_FI,LOC_ETRS89_LAT,LOC_ETRS89_LON
23188;188;L_vt7_Loviisa;"Tie 7 Loviisa";"Väg 7 Loviisa";"Road 7 Loviisa";7;19;1240;6706286;3456800;0;Uusimaa;60.4651;26.2117
23189;189;L_vt7_Loviisa_Itä;"Tie 7 Loviisa_Itä";"Väg 7 Loviisa_Öster";"Road 7 Loviisa_East";7;20;1205;6707812;3460500;0;Uusimaa;60.4792;26.2786
23124;124;L_vt25_Dragsvik;"Tie 25 Dragsvik";"Väg 25 Dragsvik";"Road 25 Dragsvik";25;11;2220;6659125;3306062;0;Uusimaa;59.9983;23.5205
23114;114;L_vt25_Virkkala;"Tie 25 Virkkala";"Väg 25 Virkby";"Road 25 Virkkala";25;19;5020;6680590;3334597;0;Uusimaa;60.2032;24.0138
23129;129;L_vt25_Selki;"Tie 25 Vihti, Selki";"Väg 25 Vichtis, Selki";"Road 25 Vihti, Selki";25;27;1550;6707890;3364173;0;Uusimaa;60.4589;24.5281
23133;133;L_vt25_Noppo;"Tie 25 Hyvinkää, Noppo";"Tie 25 Hyvinge, Noppo";"Road 25 Hyvinkää, Noppo";25;32;2220;6720820;3381460;0;Uusimaa;60.5803;24.8343
23130;130;L_vt25_Keravanjärvi;"Tie 25 Mäntsälä, Keravanjä";"Väg 25 Mäntsälä, Keravanjärv";"Road 25 Mäntsälä, Keravanjärvi";25;34;5000;6724526;3395448;0;Uusimaa;60.6175;25.0873
23153;153;L_kt45_Oulunkylä;"Tie 45 Oulunkylä";"Väg 45 Åggelby";"Road 45 Oulunkylä";45;1;4900;6680802;3386171;0;Uusimaa;60.2228;24.943
23131;131;L_kt45_Tammisto;"Tie 45 Tammisto";"Väg 45 Rosendal";"Road 45 Tammisto";45;2;3200;6684611;3387600;0;Uusimaa;60.2573;24.9666
23127;127;L_kt45_Rusutjärvi;"Tie 45 Tuusula, Rusutjärvi";"Väg 45 Tusby, Rusutjärvi";"Road 45 Tuusula, Rusutjärvi";45;6;3360;6704100;3389273;0;Uusimaa;60.4326;24.9861
23125;125;L_kt50_Bemböle;"Tie 50 Bemböle";"Väg 50 Bemböle";"Road 50 Bemböle";50;2;2400;6679211;3367498;0;Uusimaa;60.2029;24.6074
23140;140;L_kt50_Järvenperä;"Tie 50 Järvenperä";"Väg 50 Träskända";"Road 50 Järvenperä";50;3;3703;6683085;3372560;0;Uusimaa;60.2392;24.6961
23183;183;L_kt50_Järvenperä2;"Tie 50 Järvenperä 2";"Väg 50 Träskända 2";"Road 50 Järvenperä 2";50;4;0;6684494;3373600;0;Uusimaa;60.2522;24.714
23168;168;L_kt50_Askisto;"Tie 50 Askisto";"Väg 50 Askis";"Road 50 Askisto";50;4;4322;6686715;3377149;0;Uusimaa;60.2732;24.7767
23159;159;L_kt50_Petikko;"Tie 50 Petikko";"Väg 50 Petikko";"Road 50 Petikko";50;5;650;6687119;3379255;0;Uusimaa;60.2774;24.8145
23128;128;L_kt50_Voutila;"Tie 50 Voutila";"Väg 50 Brutuby";"Road 50 Voutila";50;6;1351;6689209;3383022;0;Uusimaa;60.2973;24.8813
23169;169;L_kt50_Pakkala;"Tie 50 Pakkala";"Väg 50 Backas";"Road 50 Pakkala";50;6;4908;6688926;3386417;0;Uusimaa;60.2957;24.9428
23150;150;L_kt50_Vantaanportti;"Tie 50 Vantaanportti";"Väg 50 Vandaporten";"Road 50 Vantaanportti";50;6;6748;6688288;3388031;0;Uusimaa;60.2904;24.9724
23160;160;L_kt50_Heidehof;"Tie 50 Heidehof";"Väg 50 Heidehof";"Road 50 Heidehof";50;7;3800;6687062;3392086;0;Uusimaa;60.2806;25.0463
23182;182;L_kt50_Hakunila;"Tie 50 Hakunila";"Väg 50 Håkansböle";"Road 50 Hakunila";50;8;660;6685966;3394901;0;Uusimaa;60.2714;25.0977
23101;101;L_kt51_Hanasaari;"Tie 51 Hanasaari";"Väg 51 Hanaholmen";"Road 51 Hanasaari";51;2;1614;6674574;3380678;0;Uusimaa;60.1653;24.8476
23102;102;L_kt51_Soukka;"Tie 51 Soukka";"Väg 51 Sökö";"Road 51 Soukka";51;6;3600;6674226;3369282;0;Uusimaa;60.1587;24.6427
23143;143;L_kt51_Sundsberg;"Tie 51 Sundsberg";"Väg 51 Sundsberg";"Road 51 Sundsberg";51;7;3950;6672502;3364305;0;Uusimaa;60.1416;24.5543
23156;156;L_kt51_Jorvas;"Tie 51 Jorvas";"Väg 51 Jorvas";"Road 51 Jorvas";51;8;2700;6670759;3361014;0;Uusimaa;60.1249;24.4963
23134;134;L_kt51_Inkoo;"Tie 51 Inkoo";"Väg 51 Ingå";"Road 51 Inkoo";51;13;2030;6664600;3337323;0;Uusimaa;60.061;24.0756
23115;115;L_kt55_Saksala;"Tie 55 Saksala";"Väg 55 Saxby";"Road 55 Saksala";55;1;4229;6701431;3422814;0;Uusimaa;60.4165;25.5959
